"day_index","date_format","phase","weekday","2018","2019","2020","diff_18_19","diff_20_19"
160,2020-07-22,"green","Wednesday",8854,11252,7612,2398,-3640
161,2020-07-23,"green","Thursday",9204,11217,7525,2013,-3692
162,2020-07-24,"green","Friday",10698,11238,8410,540,-2828
163,2020-07-25,"green","Saturday",8117,9094,7221,977,-1873
164,2020-07-26,"green","Sunday",6415,8561,5547,2146,-3014
165,2020-07-27,"green","Monday",8871,11242,6892,2371,-4350
166,2020-07-28,"green","Tuesday",8294,10092,6863,1798,-3229
167,2020-07-29,"green","Wednesday",8670,10875,7795,2205,-3080
168,2020-07-30,"green","Thursday",9565,11686,7781,2121,-3905
169,2020-07-31,"green","Friday",10053,12795,9103,2742,-3692
170,2020-08-01,"green","Saturday",7138,9056,8650,1918,-406
171,2020-08-02,"green","Sunday",6252,7430,6475,1178,-955
172,2020-08-03,"green","Monday",8820,10720,7682,1900,-3038
173,2020-08-04,"green","Tuesday",8279,10644,7687,2365,-2957
174,2020-08-05,"green","Wednesday",8330,9846,8190,1516,-1656
175,2020-08-06,"green","Thursday",8359,10167,7871,1808,-2296
176,2020-08-07,"green","Friday",9047,11076,8517,2029,-2559
177,2020-08-08,"green","Saturday",7458,10290,6967,2832,-3323
178,2020-08-09,"green","Sunday",5695,7443,5246,1748,-2197
179,2020-08-10,"green","Monday",7714,9583,7876,1869,-1707
180,2020-08-11,"green","Tuesday",8138,9738,8130,1600,-1608
181,2020-08-12,"green","Wednesday",8536,10070,8006,1534,-2064
182,2020-08-13,"green","Thursday",8130,10110,7797,1980,-2313
