"","Jurisdiction","Date","New.Cases","X7.day.Average.New.Cases","Cumulative.cases","Population..2018.","New.Case.Rate","X7.Day.Average.New.Case.Rate","Cumulative.Case.Rate","County.FIPS.Code","Longitude","Latitude","Georeferenced.Lat...Long","Date_adj","phase","phase2"
"14489","Centre",2020-08-24,3,3.7,429,162805,1.8,2.3,263.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-08-10,"return","green"
"14955","Centre",2020-04-01,0,3.1,36,162805,0,1.9,22.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-18,"red","local"
"15136","Centre",2020-06-13,2,2,173,162805,1.2,1.2,106.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-30,"green","green"
"15442","Centre",2020-05-12,3,1.7,135,162805,1.8,1.1,82.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-28,"yellow","red"
"15568","Centre",2020-03-13,0,0,0,162805,0,0,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-28,"pop","base"
"15588","Centre",2020-07-23,2,4.9,305,162805,1.2,3,187.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-09,"green","green"
"15630","Centre",2020-05-16,2,1.6,138,162805,1.2,1,84.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-02,"yellow","red"
"15740","Centre",2020-07-15,1,3.7,263,162805,0.6,2.3,161.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-01,"green","green"
"15742","Centre",2020-04-26,6,1.9,94,162805,3.7,1.1,57.7,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-12,"red","red"
"15767","Centre",2020-08-20,3,3.6,414,162805,1.8,2.2,254.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-08-06,"return","green"
"15952","Centre",2020-06-04,0,0.7,157,162805,0,0.4,96.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-21,"green","yellow"
"16084","Centre",2020-03-10,0,0,0,162805,0,0,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-25,"pop","base"
"16099","Centre",2020-07-06,2,4,231,162805,1.2,2.5,141.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-22,"green","green"
"16221","Centre",2020-04-11,1,3.4,77,162805,0.6,2.1,47.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-28,"red","red"
"16449","Centre",2020-03-25,3,2,14,162805,1.8,1.2,8.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-11,"local","pop"
"16478","Centre",2020-07-19,8,5.6,290,162805,4.9,3.4,178.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-05,"green","green"
"16650","Centre",2020-06-17,0,2,176,162805,0,1.2,108.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-03,"green","green"
"16751","Centre",2020-03-06,0,NA,0,162805,0,NA,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-21,"pop","base"
"16860","Centre",2020-04-22,0,0.3,83,162805,0,0.2,51,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-08,"red","red"
"16897","Centre",2020-07-11,1,2.3,244,162805,0.6,1.4,149.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-27,"green","green"
