date,visit_counts
2020-04-05,2404
2020-04-06,3573
2020-04-07,3234
2020-04-08,3522
2020-04-09,3373
2020-04-10,3839
2020-04-11,3297
2020-04-12,1633
2020-04-13,2729
2020-04-14,3217
2020-04-15,3705
2020-04-16,3340
2020-04-17,3619
2020-04-18,3374
2020-04-19,2766
2020-04-20,3282
2020-04-21,3497
2020-04-22,3705
2020-04-23,3701
2020-04-24,4017
2020-04-25,3882
2020-04-26,2627
2020-04-27,3853
2020-04-28,4198
2020-04-29,4101
2020-04-30,3543
2020-05-01,4935
2020-05-02,4321
2020-05-03,3365
2020-05-04,4239
2020-05-05,4501
2020-05-06,4281
2020-05-07,4675
2020-05-08,5225
2020-05-09,5256
2020-05-10,3609
2020-05-11,4918
2020-05-12,5304
2020-05-13,5547
2020-05-14,5260
2020-05-15,5651
2020-05-16,5249
2020-05-17,3937
2020-05-18,5392
2020-05-19,5527
2020-05-20,5706
2020-05-21,5429
2020-05-22,5928
2020-05-23,5225
2020-05-24,4223
2020-05-25,3675
2020-05-26,5283
2020-05-27,5769
2020-05-28,5862
2020-05-29,7097
2020-05-30,6472
2020-05-31,5182
2020-06-01,6319
2020-06-02,6914
2020-06-03,6601
2020-06-04,7020
2020-06-05,8298
2020-06-06,7081
2020-06-07,5329
2020-06-08,7290
2020-06-09,7154
2020-06-10,6933
2020-06-11,7408
2020-06-12,7441
2020-06-13,6882
2020-06-14,5506
2020-06-15,6772
2020-06-16,6713
2020-06-17,7004
2020-06-18,7289
2020-06-19,7304
2020-06-20,6663
2020-06-21,4491
2020-06-22,6804
2020-06-23,6758
2020-06-24,7562
2020-06-25,7612
2020-06-26,8665
2020-06-27,7166
2020-06-28,5603
2020-06-29,7115
2020-06-30,7438
2020-07-01,7417
2020-07-02,7258
2020-07-03,7814
2020-07-04,5361
2020-07-05,4984
2020-07-06,7040
2020-07-07,7131
2020-07-08,6520
2020-07-09,7379
2020-07-10,9151
2020-07-11,8588
2020-07-12,5506
2020-07-13,7277
2020-07-14,7195
2020-07-15,7441
2020-07-16,7204
2020-07-17,8233
2020-07-18,7209
2020-07-19,5348
2020-07-20,7401
2020-07-21,7154
2020-07-22,7612
2020-07-23,7525
2020-07-24,8410
2020-07-25,7221
2020-07-26,5547
2020-07-27,6892
2020-07-28,6863
2020-07-29,7795
2020-07-30,7781
2020-07-31,9103
2020-08-01,8650
2020-08-02,6475
2020-08-03,7682
2020-08-04,7687
2020-08-05,8190
2020-08-06,7871
2020-08-07,8517
2020-08-08,6967
2020-08-09,5246
2020-08-10,7876
2020-08-11,8130
2020-08-12,8006
2020-08-13,7797
2020-08-14,9193
2020-08-15,8375
2020-08-16,7336
2020-08-17,10604
2020-08-18,11952
2020-08-19,14398
