location_name,street_address,city,latitude,longitude
BaseTactics,1100 Benner Pike,State College,40.842687,-77.796366
Bassett Furniture,660 Pleasant View Blvd,Bellefonte,40.923013,-77.780271
Bastian Tire & Auto Centers,260 W Hamilton Ave,State College,40.786895,-77.856899
Bath & Body Works,2900 E College Ave,State College,40.833158,-77.801034
Battery Outlet,1230 E College Ave,State College,40.808207,-77.835168
BAYADA Adult Nursing,2123 E College Ave Ste 200,Houserville,40.820749,-77.816475
BAYADA Habilitation,60 Decibel Rd Ste 104,State College,40.829737,-77.799976
BAYADA Pediatrics,2123 E College Ave Ste 200,Houserville,40.821011,-77.816208
BB&T (Branch Banking and Trust),1705 N Atherton St,State College,40.808886,-77.898896
BB&T (Branch Banking and Trust),125 Southridge Plz,State College,40.784166,-77.830953
Beacon Building Products,350 Struble Rd,Lemont,40.824656,-77.80666
Beauty Markz by Cassidy,3208 Benner Pike,Bellefonte,40.893582,-77.785048
Beaver Mills Cemetery,Beaver Road,Philipsburg,40.889239,-78.039959
Beaver Stadium,1 Beaver Stadium,State College,40.809292,-77.854635
Bechdel Cemetery,West Main Extension,Blanchard,41.058265,-77.604616
Beck Psychotherapy,103 E Beaver Ave Ste 2,State College,40.793663,-77.860196
Beck's Frame & Alignment,124 Becks Ln,Howard,41.016608,-77.65425
Bed Bath & Beyond,313 Benner Pike,State College,40.830432,-77.808003
Beer Belly's Beverage,258 W Hamilton Ave,State College,40.787079,-77.856662
Beezer Heath Funeral Home & Cremation Services,719 E Spruce St,Philipsburg,40.901142,-78.218306
Beijing & Osaka,452 E College Ave,State College,40.798817,-77.855492
Belding & Mull,1878 Port Matilda Hwy,Philipsburg,40.894921,-78.19712
Belinda's Port Malinda's Hotel,201 E Plank Rd,Port Matilda,40.800264,-78.053867
Bell Hollow Dog Training,510 Orvis Beckwith Ln,Port Matilda,40.784135,-78.127187
Bellefonte Airport,Bellefonte Airport,Bellefonte,40.886506,-77.815195
Bellefonte Area Hs,830 E Bishop St,Bellefonte,40.912683,-77.762182
Bellefonte Area Ms,100 N School St,Bellefonte,40.91695,-77.763461
Bellefonte Bed and Breakfast,214 N Allegheny St,Bellefonte,40.913856,-77.778255
Bellefonte El Sch,100 W Linn St,Bellefonte,40.915305,-77.780475
Bellefonte Ems,369 Phoenix Ave,Bellefonte,40.908543,-77.782241
Bellefonte Family Dentistry,115 S School St,Bellefonte,40.914555,-77.762657
Bellefonte Farmers Market,160 Dunlap St &Amp; W Lamb St,Bellefonte,40.91398,-77.783312
Bellefonte Lanes,2767 Benner Pike,Bellefonte,40.881164,-77.780762
Bellefonte Medical Clinic PC,527 Willowbank St,Bellefonte,40.906743,-77.784213
Bellefonte Museum,133 N Allegheny St,Bellefonte,40.913031,-77.778571
Bellefonte Police Department Bellefonte Pennsylvania,236 W Lamb St,Bellefonte,40.914286,-77.781989
Benjamin's Catering,124 Chambers Aly,Boalsburg,40.774686,-77.793347
Benner Cemetery,Shiloh Road,Bellefonte,40.85257,-77.818248
Benner El Sch,490 Buffalo Run Rd,Bellefonte,40.89359,-77.810871
Benner Pike Chiropractic Clinic,2820 Benner Pike,Bellefonte,40.883243,-77.77966
Benner Pike Shops,387 Benner Pike,State College,40.832337,-77.807046
Bennett Family Center,123 Bennett Family Center,State College,40.802478,-77.854951
Berean Bible Fellowship Church,360 Race St,Unionville,40.906239,-77.872194
Bernel Road Park,2501 Bernel Rd,State College,40.846805,-77.875537
Best Buy,1650 N Atherton St,Park Forest Village,40.806785,-77.894725
Best Line Equipment,2031 General Potter Hwy,Centre Hall,40.791405,-77.704204
Best Line Powersports,2013 General Potter Hwy,Centre Hall,40.790928,-77.706048
Best Western,115 Premiere Dr,State College,40.838995,-77.801933
Beulah's Bar B Que,114 S Garner St,State College,40.797665,-77.856769
BeWell Associates,233 Easterly Pkwy Ste 104,State College,40.789462,-77.848381
Bi Lo Supply,1299 N Atherton St,State College,40.803703,-77.883728
Bierlein Automotive,129 Old Fort Rd,Spring Mills,40.79579,-77.625572
Bierly's H R Garage & Auto Salvage,585 N Pennsylvania Ave,Centre Hall,40.844128,-77.711061
Big Bite Wings and More,111 Sowers St,State College,40.798271,-77.8556
Big Bowl Noodle House,418 E College Ave,State College,40.798098,-77.856436
Big Lots Stores,503 Benner Pike,State College,40.834488,-77.804187
Big Spring Spirits,198 Match Factory Pl Bldg 10,Bellefonte,40.908746,-77.782467
Bigfoot Barns,6811 Brush Valley Rd Ste 1,Rebersburg,40.977322,-77.324748
Bill Pickle's Tap Room,106 S Allen St,State College,40.79406,-77.861453
