Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Warren,06/22/2020,0,0,5,39498,0,0,12.7,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Jefferson,03/17/2020,0,0,0,43641,0,0,0,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Snyder,05/20/2020,0,0,39,40540,0,0,96.2,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Indiana,09/29/2020,7,9.1,742,84501,8.3,10.8,878.1,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Allegheny,11/16/2020,312,409.9,20834,1218452,25.6,33.6,1709.9,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Franklin,06/09/2020,8,3.4,806,154835,5.2,2.2,520.6,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Snyder,08/17/2020,2,2.7,133,40540,4.9,6.7,328.1,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Forest,05/31/2020,0,0,7,7279,0,0,96.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Cumberland,09/30/2020,13,16.7,1935,251423,5.2,6.6,769.6,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Berks,08/06/2020,22,23.9,5327,420152,5.2,5.7,1267.9,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Venango,06/29/2020,0,0.3,21,51266,0,0.6,41,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Indiana,08/08/2020,9,7.1,321,84501,10.7,8.5,379.9,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Mercer,09/02/2020,6,3,562,110683,5.4,2.7,507.8,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Elk,11/09/2020,17,10,297,30169,56.3,33.1,984.5,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Perry,08/14/2020,2,1.9,139,46139,4.3,4,301.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Lebanon,05/13/2020,5,10,871,141314,3.5,7.1,616.4,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Crawford,05/16/2020,0,0.1,24,85063,0,0.2,28.2,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Armstrong,06/04/2020,0,0.3,64,65263,0,0.4,98.1,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Huntingdon,07/08/2020,0,0.4,255,45168,0,0.9,564.6,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Lancaster,10/21/2020,47,52.9,9140,543557,8.6,9.7,1681.5,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Bradford,05/30/2020,0,0.3,48,60833,0,0.5,78.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Armstrong,09/20/2020,6,5,419,65263,9.2,7.7,642,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Fulton,08/29/2020,0,0.4,34,14523,0,3,234.1,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Crawford,10/19/2020,6,5.9,400,85063,7.1,6.9,470.2,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Blair,03/27/2020,2,0.4,3,122492,1.6,0.3,2.4,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Cameron,10/02/2020,0,0,8,4492,0,0,178.1,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Greene,07/09/2020,3,2.3,63,36506,8.2,6.3,172.6,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Mckean,03/24/2020,0,0,0,40968,0,0,0,,,,
Forest,06/17/2020,0,0,7,7279,0,0,96.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Carbon,10/07/2020,7,3,491,64227,10.9,4.7,764.5,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Susquehanna,10/17/2020,2,4.1,373,40589,4.9,10.2,919,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Wayne,03/01/2020,0,,0,51276,0,,0,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Erie,05/08/2020,4,4,127,272061,1.5,1.5,46.7,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Pennsylvania,11/22/2020,5012,6468.9,316152,12807060,39.1,50.5,2468.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Blair,08/08/2020,8,8.3,282,122492,6.5,6.8,230.2,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Mercer,07/17/2020,3,7.6,220,110683,2.7,6.8,198.8,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Beaver,09/28/2020,6,9.3,1918,164742,3.6,5.6,1164.2,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Lehigh,07/20/2020,23,19.6,4585,368100,6.2,5.3,1245.6,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Bradford,06/18/2020,0,0.6,52,60833,0,0.9,85.5,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Washington,05/04/2020,0,1.4,127,207346,0,0.7,61.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Dauphin,06/19/2020,21,20.4,1755,277097,7.6,7.4,633.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Schuylkill,07/12/2020,1,2.9,780,142067,0.7,2,549,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Wayne,08/08/2020,0,0.4,160,51276,0,0.8,312,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Snyder,09/08/2020,4,3.4,195,40540,9.9,8.5,481,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Union,07/16/2020,1,1.7,111,44785,2.2,3.8,247.9,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Somerset,03/12/2020,0,0,0,73952,0,0,0,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Butler,10/06/2020,24,14.9,1181,187888,12.8,7.9,628.6,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Tioga,05/05/2020,0,0.3,16,40763,0,0.7,39.3,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Bedford,04/16/2020,2,1.3,13,48176,4.2,2.7,27,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Sullivan,04/01/2020,0,0,0,6071,0,0,0,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Potter,10/30/2020,2,1.7,60,16622,12,10.3,361,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Lawrence,06/10/2020,0,0.6,86,86184,0,0.7,99.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Warren,10/16/2020,0,1,59,39498,0,2.5,149.4,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
York,04/10/2020,12,23.1,316,448273,2.7,5.2,70.5,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Wayne,06/25/2020,5,1.1,137,51276,9.8,2.2,267.2,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Elk,07/08/2020,0,2.3,35,30169,0,7.6,116,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Crawford,06/04/2020,0,0.1,33,85063,0,0.2,38.8,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Greene,10/31/2020,8,6.3,278,36506,21.9,17.2,761.5,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Montgomery,12/04/2020,608,440.3,24542,828604,73.4,53.1,2961.8,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Dauphin,05/03/2020,26,18.9,694,277097,9.4,6.8,250.5,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Pennsylvania,03/04/2020,0,,0,12807060,0,,0,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Delaware,05/18/2020,49,88.3,5886,564751,8.7,15.6,1042.2,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Dauphin,08/17/2020,16,23.4,3018,277097,5.8,8.5,1089.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Monroe,05/18/2020,4,5,1278,169507,2.4,2.9,754,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Somerset,07/20/2020,5,2.1,100,73952,6.8,2.9,135.2,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Mifflin,11/02/2020,18,15.1,487,46222,38.9,32.8,1053.6,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Delaware,06/06/2020,20,30.7,6713,564751,3.5,5.4,1188.7,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Tioga,05/30/2020,0,0.1,17,40763,0,0.4,41.7,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Susquehanna,04/01/2020,1,0.4,7,40589,2.5,1.1,17.2,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Chester,05/05/2020,30,45.7,1708,522046,5.7,8.8,327.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Tioga,11/02/2020,13,9.7,274,40763,31.9,23.8,672.2,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Elk,09/01/2020,0,0,69,30169,0,0,228.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Cambria,08/01/2020,7,6.7,272,131730,5.3,5.1,206.5,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Bedford,08/10/2020,1,1.7,146,48176,2.1,3.6,303.1,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Cameron,10/17/2020,0,0,8,4492,0,0,178.1,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Crawford,06/17/2020,1,0.6,39,85063,1.2,0.7,45.8,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Allegheny,06/26/2020,95,45.4,2498,1218452,7.8,3.7,205,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Mercer,03/23/2020,1,0.3,2,110683,0.9,0.3,1.8,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Cumberland,06/26/2020,3,8.4,845,251423,1.2,3.4,336.1,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Monroe,07/01/2020,4,5.4,1433,169507,2.4,3.2,845.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Beaver,09/09/2020,11,10.6,1743,164742,6.7,6.4,1058,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Venango,06/18/2020,0,0,19,51266,0,0,37.1,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Lebanon,10/25/2020,40,40.7,2886,141314,28.3,28.8,2042.3,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Bucks,06/29/2020,14,22.3,5808,628195,2.2,3.5,924.6,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Mifflin,08/20/2020,3,1.9,136,46222,6.5,4,294.2,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Lackawanna,09/13/2020,7,17,2321,210793,3.3,8.1,1101.1,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Washington,05/21/2020,4,0.9,140,207346,1.9,0.4,67.5,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Berks,05/01/2020,56,59.3,2887,420152,13.3,14.1,687.1,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Montour,11/26/2020,5,6.6,444,18240,27.4,36,2434.2,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Jefferson,10/08/2020,0,1.3,128,43641,0,2.9,293.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Monroe,09/06/2020,2,3.6,1740,169507,1.2,2.1,1026.5,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Indiana,10/31/2020,27,21.4,1227,84501,32,25.4,1452.1,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Montour,03/13/2020,0,0,0,18240,0,0,0,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Allegheny,12/03/2020,903,664.6,31484,1218452,74.1,54.5,2583.9,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Jefferson,08/25/2020,1,2.4,97,43641,2.3,5.6,222.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Beaver,10/15/2020,15,13.7,2128,164742,9.1,8.3,1291.7,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Delaware,09/13/2020,32,37.7,10965,564751,5.7,6.7,1941.6,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Perry,04/12/2020,1,2,19,46139,2.2,4.3,41.2,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Bucks,08/02/2020,29,43.6,7075,628195,4.6,6.9,1126.2,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Lebanon,06/15/2020,2,15.4,1197,141314,1.4,10.9,847,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Wyoming,09/28/2020,0,0.9,80,27046,0,3.2,295.8,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Jefferson,08/27/2020,0,2.1,99,43641,0,4.9,226.9,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Crawford,05/20/2020,0,0,24,85063,0,0,28.2,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Luzerne,10/24/2020,82,63.1,5160,317646,25.8,19.9,1624.4,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Bedford,05/03/2020,0,0.3,25,48176,0,0.6,51.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Jefferson,06/21/2020,1,0.3,23,43641,2.3,0.7,52.7,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Westmoreland,06/01/2020,2,1.3,456,350611,0.6,0.4,130.1,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Mercer,06/08/2020,2,0.9,114,110683,1.8,0.8,103,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Fulton,07/15/2020,0,0,19,14523,0,0,130.8,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Clinton,07/08/2020,5,1.6,91,38684,12.9,4.1,235.2,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Snyder,06/06/2020,1,1.4,57,40540,2.5,3.5,140.6,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Carbon,11/23/2020,36,29.3,1125,64227,56.1,45.6,1751.6,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Armstrong,06/21/2020,0,0.3,69,65263,0,0.4,105.7,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Mifflin,11/19/2020,62,53.4,1197,46222,134.1,115.6,2589.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Cambria,06/14/2020,0,0.3,63,131730,0,0.2,47.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Mercer,11/26/2020,66,69.7,2685,110683,59.6,63,2425.8,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Union,08/17/2020,13,7.3,306,44785,29,16.3,683.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Bucks,09/09/2020,33,35.3,8178,628195,5.3,5.6,1301.8,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Clarion,10/20/2020,3,3.3,187,38779,7.7,8.5,482.2,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Elk,10/12/2020,1,1.3,93,30169,3.3,4.3,308.3,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Erie,07/26/2020,11,11.4,866,272061,4,4.2,318.3,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Mckean,11/12/2020,18,9,252,40968,43.9,22,615.1,,,,
York,11/19/2020,189,166,9035,448273,42.2,37,2015.5,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Greene,06/22/2020,0,0.7,39,36506,0,2,106.8,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Susquehanna,10/26/2020,2,3.1,403,40589,4.9,7.7,992.9,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Bucks,08/08/2020,24,29.1,7250,628195,3.8,4.6,1154.1,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Wyoming,06/04/2020,0,0,36,27046,0,0,133.1,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Lehigh,11/29/2020,109,204.7,11523,368100,29.6,55.6,3130.4,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Erie,03/13/2020,0,0,0,272061,0,0,0,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Butler,11/20/2020,112,100.4,3542,187888,59.6,53.5,1885.2,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Columbia,07/30/2020,1,1.6,458,65456,1.5,2.4,699.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Sullivan,07/31/2020,0,0,10,6071,0,0,164.7,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Juniata,03/12/2020,0,0,0,24704,0,0,0,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Montour,09/28/2020,1,1,172,18240,5.5,5.5,943,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Berks,11/14/2020,158,143.6,11357,420152,37.6,34.2,2703.1,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Wyoming,09/26/2020,2,0.6,78,27046,7.4,2.1,288.4,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Wayne,05/15/2020,1,0.3,109,51276,2,0.6,212.6,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Mckean,04/08/2020,0,0.1,2,40968,0,0.3,4.9,,,,
Dauphin,03/30/2020,11,6.9,53,277097,4,2.5,19.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Indiana,10/21/2020,21,12.7,999,84501,24.9,15,1182.2,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Bradford,07/01/2020,0,0.9,61,60833,0,1.4,100.3,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Luzerne,06/15/2020,4,6.1,2848,317646,1.3,1.9,896.6,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Cameron,06/08/2020,0,0,2,4492,0,0,44.5,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Schuylkill,04/11/2020,10,13.7,202,142067,7,9.7,142.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Huntingdon,08/27/2020,3,2.3,364,45168,6.6,5.1,805.9,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Monroe,07/16/2020,1,3.7,1490,169507,0.6,2.2,879,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Venango,09/11/2020,0,0.3,76,51266,0,0.6,148.2,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Forest,08/18/2020,0,0.3,13,7279,0,3.9,178.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Somerset,08/20/2020,5,1.4,150,73952,6.8,1.9,202.8,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Erie,10/25/2020,20,18.4,2015,272061,7.4,6.8,740.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Union,03/27/2020,0,0.1,1,44785,0,0.3,2.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Wayne,09/24/2020,1,1.9,224,51276,2,3.6,436.9,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Lycoming,05/28/2020,0,0.3,163,113664,0,0.3,143.4,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Elk,07/26/2020,0,0.3,41,30169,0,0.9,135.9,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Berks,06/19/2020,14,12,4385,420152,3.3,2.9,1043.7,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Pike,11/30/2020,13,8.4,865,55933,23.2,15.1,1546.5,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Greene,10/16/2020,3,1.7,220,36506,8.2,4.7,602.6,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Lackawanna,10/26/2020,48,49,3700,210793,22.8,23.2,1755.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Pennsylvania,06/19/2020,486,402,81428,12807060,3.8,3.1,635.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Franklin,12/02/2020,233,121.6,5059,154835,150.5,78.5,3267.3,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Westmoreland,11/16/2020,156,162.4,6429,350611,44.5,46.3,1833.7,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Pike,05/30/2020,0,0,475,55933,0,0,849.2,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Sullivan,12/05/2020,2,3,83,6071,32.9,49.4,1367.2,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Crawford,05/18/2020,0,0,24,85063,0,0,28.2,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Bradford,11/10/2020,42,31.3,1224,60833,69,51.4,2012.1,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Perry,07/14/2020,2,1.1,98,46139,4.3,2.5,212.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Tioga,08/23/2020,0,0.6,47,40763,0,1.4,115.3,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Franklin,05/09/2020,12,18.9,503,154835,7.8,12.2,324.9,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Fulton,05/13/2020,3,0.7,11,14523,20.7,4.9,75.7,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Union,07/09/2020,0,0.4,99,44785,0,1,221.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Chester,06/11/2020,61,41.4,3253,522046,11.7,7.9,623.1,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Beaver,08/31/2020,9,14.7,1635,164742,5.5,8.9,992.5,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Venango,10/13/2020,12,5.7,146,51266,23.4,11.1,284.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Philadelphia,04/01/2020,394,217,1963,1584138,24.9,13.7,123.9,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Wyoming,09/09/2020,1,0.4,73,27046,3.7,1.6,269.9,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Tioga,09/07/2020,1,0.3,52,40763,2.5,0.7,127.6,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Lancaster,05/30/2020,25,39.3,3167,543557,4.6,7.2,582.6,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Mifflin,12/04/2020,152,76.4,2238,46222,328.8,165.4,4841.9,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Lancaster,11/11/2020,187,152.4,11480,543557,34.4,28,2112,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Montgomery,11/24/2020,275,317.6,20377,828604,33.2,38.3,2459.2,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Somerset,04/17/2020,2,1,17,73952,2.7,1.4,23,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Cumberland,11/23/2020,115,119.3,4508,251423,45.7,47.4,1793,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Carbon,07/15/2020,3,2.1,308,64227,4.7,3.3,479.5,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Northampton,11/29/2020,101,150.6,9110,304807,33.1,49.4,2988.8,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Blair,09/26/2020,15,14,686,122492,12.2,11.4,560,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Mifflin,04/10/2020,1,0.9,10,46222,2.2,1.9,21.6,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Mckean,07/13/2020,0,0,21,40968,0,0,51.3,,,,
Pike,10/01/2020,3,2.3,591,55933,5.4,4.1,1056.6,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Bedford,04/13/2020,0,0.3,5,48176,0,0.6,10.4,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Butler,06/25/2020,4,3,285,187888,2.1,1.6,151.7,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Bradford,10/09/2020,14,13.6,311,60833,23,22.3,511.2,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Berks,09/28/2020,49,33.9,7150,420152,11.7,8.1,1701.8,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lawrence,10/30/2020,35,18.7,953,86184,40.6,21.7,1105.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Carbon,04/20/2020,4,6.6,154,64227,6.2,10.2,239.8,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Schuylkill,08/18/2020,4,4.7,966,142067,2.8,3.3,680,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Jefferson,08/24/2020,0,2.3,96,43641,0,5.2,220,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Crawford,08/22/2020,3,3.3,195,85063,3.5,3.9,229.2,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Dauphin,07/16/2020,24,14.3,2368,277097,8.7,5.2,854.6,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Fayette,11/20/2020,52,46.1,1647,130441,39.9,35.4,1262.6,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Erie,09/04/2020,12,5.7,1399,272061,4.4,2.1,514.2,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Columbia,07/19/2020,3,1.9,435,65456,4.6,2.8,664.6,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Montgomery,08/26/2020,51,43,10922,828604,6.2,5.2,1318.1,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Indiana,06/22/2020,0,0.6,100,84501,0,0.7,118.3,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Westmoreland,07/03/2020,26,23.4,779,350611,7.4,6.7,222.2,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Lackawanna,09/07/2020,5,16.6,2207,210793,2.4,7.9,1047,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Lehigh,08/21/2020,8,8.7,5128,368100,2.2,2.4,1393.1,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
