Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Cumberland,05/04/2020,7,12.7,411,251423,2.8,5.1,163.5,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Tioga,05/04/2020,0,0.3,16,40763,0,0.7,39.3,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Berks,06/03/2020,21,25.4,4156,420152,5,6.1,989.2,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Dauphin,04/24/2020,27,21.9,515,277097,9.7,7.9,185.9,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Sullivan,10/19/2020,0,0.1,16,6071,0,2.4,263.5,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Clarion,09/11/2020,3,1.4,109,38779,7.7,3.7,281.1,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Philadelphia,08/29/2020,118,106.9,29163,1584138,7.4,6.7,1840.9,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Butler,04/10/2020,10,7,134,187888,5.3,3.7,71.3,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Pike,08/31/2020,1,1,543,55933,1.8,1.8,970.8,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Lehigh,07/21/2020,14,18.7,4599,368100,3.8,5.1,1249.4,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lawrence,09/08/2020,5,2.1,481,86184,5.8,2.5,558.1,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Lehigh,10/24/2020,55,43.4,6442,368100,14.9,11.8,1750.1,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Snyder,09/07/2020,1,3.1,191,40540,2.5,7.8,471.1,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Lawrence,06/11/2020,0,0.6,86,86184,0,0.7,99.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Montgomery,09/13/2020,56,37.9,11690,828604,6.8,4.6,1410.8,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Delaware,09/24/2020,33,33.6,11348,564751,5.8,5.9,2009.4,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
York,04/11/2020,15,20.1,331,448273,3.3,4.5,73.8,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Jefferson,07/08/2020,2,1.6,38,43641,4.6,3.6,87.1,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Union,08/22/2020,4,8.7,354,44785,8.9,19.5,790.4,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,11/15/2020,15,25.4,1022,44785,33.5,56.8,2282,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Cameron,08/03/2020,0,0.1,6,4492,0,3.2,133.6,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Forest,05/22/2020,0,0,7,7279,0,0,96.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Philadelphia,08/08/2020,115,119.4,26712,1584138,7.3,7.5,1686.2,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Pennsylvania,11/23/2020,6065,6540,322217,12807060,47.4,51.1,2515.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
York,07/04/2020,14,21.4,1604,448273,3.1,4.8,357.8,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Pennsylvania,09/05/2020,657,835.6,139879,12807060,5.1,6.5,1092.2,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Wyoming,10/12/2020,4,1.7,94,27046,14.8,6.3,347.6,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Perry,10/09/2020,8,3.7,272,46139,17.3,8.1,589.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Clarion,10/09/2020,5,3.1,156,38779,12.9,8.1,402.3,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Westmoreland,08/22/2020,15,16.1,1739,350611,4.3,4.6,496,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Sullivan,03/31/2020,0,0,0,6071,0,0,0,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Luzerne,06/16/2020,2,5,2850,317646,0.6,1.6,897.2,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Huntingdon,08/30/2020,1,2.4,370,45168,2.2,5.4,819.2,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Carbon,05/16/2020,2,2.3,219,64227,3.1,3.6,341,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Clearfield,03/27/2020,0,0.3,2,79388,0,0.4,2.5,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Erie,07/15/2020,11,7.4,756,272061,4,2.7,277.9,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Tioga,04/19/2020,0,0.1,14,40763,0,0.4,34.3,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Northampton,07/26/2020,15,15.6,3764,304807,4.9,5.1,1234.9,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Clarion,06/08/2020,1,0.1,29,38779,2.6,0.4,74.8,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Lebanon,10/26/2020,66,44.3,2952,141314,46.7,31.3,2089,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Columbia,09/21/2020,3,3,876,65456,4.6,4.6,1338.3,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Perry,04/01/2020,2,0.4,3,46139,4.3,0.9,6.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Susquehanna,04/02/2020,1,0.4,8,40589,2.5,1.1,19.7,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Pennsylvania,07/22/2020,823,851.7,104689,12807060,6.4,6.7,817.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lawrence,03/08/2020,0,0,0,86184,0,0,0,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Lawrence,08/20/2020,3,2.4,440,86184,3.5,2.8,510.5,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Mifflin,06/13/2020,0,0,61,46222,0,0,132,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Venango,06/17/2020,0,0.1,19,51266,0,0.3,37.1,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Fulton,09/09/2020,0,0.3,38,14523,0,2,261.7,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Columbia,08/25/2020,17,13,587,65456,26,19.9,896.8,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
